Provincia,Año,F,M
Buenos Aires,1998,72,175
Buenos Aires,1999,81,179
Buenos Aires,2000,72,154
Buenos Aires,2001,79,192
Buenos Aires,2002,43,130
Buenos Aires,2003,73,150
Buenos Aires,2004,75,203
Buenos Aires,2005,65,217
Buenos Aires,2006,60,194
Buenos Aires,2007,70,183
Buenos Aires,2008,70,177
Buenos Aires,2009,66,193
Buenos Aires,2010,49,134
Buenos Aires,2011,56,161
Buenos Aires,2012,47,155
Buenos Aires,2013,56,189
Buenos Aires,2014,56,189
Buenos Aires,2015,55,140
Catamarca,1998,0,1
Catamarca,1999,0,0
Catamarca,2000,0,1
Catamarca,2001,0,0
Catamarca,2002,0,0
Catamarca,2003,0,1
Catamarca,2004,0,0
Catamarca,2005,0,0
Catamarca,2006,0,0
Catamarca,2007,0,0
Catamarca,2008,0,0
Catamarca,2009,0,1
Catamarca,2010,0,0
Catamarca,2011,0,0
Catamarca,2012,0,0
Catamarca,2013,0,0
Catamarca,2014,0,0
Catamarca,2015,0,0
Chaco,1998,0,1
Chaco,1999,0,1
Chaco,2000,0,1
Chaco,2001,0,1
Chaco,2002,0,0
Chaco,2003,1,1
Chaco,2004,1,2
Chaco,2005,1,1
Chaco,2006,1,2
Chaco,2007,1,2
Chaco,2008,2,2
Chaco,2009,0,4
Chaco,2010,0,9
Chaco,2011,0,5
Chaco,2012,0,6
Chaco,2013,4,6
Chaco,2014,4,6
Chaco,2015,0,3
Chubut,1998,0,3
Chubut,1999,2,0
Chubut,2000,0,1
Chubut,2001,1,1
Chubut,2002,0,0
Chubut,2003,0,1
Chubut,2004,1,1
Chubut,2005,0,2
Chubut,2006,1,3
Chubut,2007,0,4
Chubut,2008,0,1
Chubut,2009,1,2
Chubut,2010,1,2
Chubut,2011,1,4
Chubut,2012,0,6
Chubut,2013,1,4
Chubut,2014,1,4
Chubut,2015,0,2
Ciudad Autónoma de Buenos Aires,1998,24,67
Ciudad Autónoma de Buenos Aires,1999,19,72
Ciudad Autónoma de Buenos Aires,2000,21,79
Ciudad Autónoma de Buenos Aires,2001,19,81
Ciudad Autónoma de Buenos Aires,2002,9,63
Ciudad Autónoma de Buenos Aires,2003,11,86
Ciudad Autónoma de Buenos Aires,2004,11,65
Ciudad Autónoma de Buenos Aires,2005,13,71
Ciudad Autónoma de Buenos Aires,2006,11,65
Ciudad Autónoma de Buenos Aires,2007,8,50
Ciudad Autónoma de Buenos Aires,2008,12,51
Ciudad Autónoma de Buenos Aires,2009,15,60
Ciudad Autónoma de Buenos Aires,2010,17,51
Ciudad Autónoma de Buenos Aires,2011,22,84
Ciudad Autónoma de Buenos Aires,2012,22,74
Ciudad Autónoma de Buenos Aires,2013,18,62
Ciudad Autónoma de Buenos Aires,2014,18,64
Ciudad Autónoma de Buenos Aires,2015,20,52
Corrientes,1998,1,6
Corrientes,1999,0,3
Corrientes,2000,1,0
Corrientes,2001,1,2
Corrientes,2002,0,1
Corrientes,2003,0,5
Corrientes,2004,1,5
Corrientes,2005,1,6
Corrientes,2006,2,6
Corrientes,2007,3,7
Corrientes,2008,0,3
Corrientes,2009,3,6
Corrientes,2010,3,1
Corrientes,2011,2,6
Corrientes,2012,0,5
Corrientes,2013,3,5
Corrientes,2014,3,5
Corrientes,2015,2,9
Córdoba,1998,12,31
Córdoba,1999,20,25
Córdoba,2000,7,24
Córdoba,2001,10,27
Córdoba,2002,9,12
Córdoba,2003,15,36
Córdoba,2004,13,29
Córdoba,2005,14,25
Córdoba,2006,13,31
Córdoba,2007,11,26
Córdoba,2008,8,26
Córdoba,2009,5,23
Córdoba,2010,15,21
Córdoba,2011,15,20
Córdoba,2012,10,32
Córdoba,2013,12,29
Córdoba,2014,12,29
Córdoba,2015,8,19
Entre Ríos,1998,2,9
Entre Ríos,1999,4,8
Entre Ríos,2000,3,12
Entre Ríos,2001,2,15
Entre Ríos,2002,1,5
Entre Ríos,2003,5,7
Entre Ríos,2004,4,3
Entre Ríos,2005,4,7
Entre Ríos,2006,6,9
Entre Ríos,2007,4,11
Entre Ríos,2008,5,13
Entre Ríos,2009,3,11
Entre Ríos,2010,3,14
Entre Ríos,2011,4,19
Entre Ríos,2012,4,16
Entre Ríos,2013,10,14
Entre Ríos,2014,10,14
Entre Ríos,2015,4,5
Formosa,1998,0,1
Formosa,1999,1,3
Formosa,2000,2,5
Formosa,2001,2,5
Formosa,2002,1,6
Formosa,2003,2,9
Formosa,2004,1,8
Formosa,2005,1,3
Formosa,2006,0,1
Formosa,2007,0,1
Formosa,2008,2,1
Formosa,2009,1,1
Formosa,2010,2,1
Formosa,2011,3,1
Formosa,2012,0,1
Formosa,2013,1,3
Formosa,2014,1,3
Formosa,2015,0,2
Jujuy,1998,0,2
Jujuy,1999,0,2
Jujuy,2000,4,2
Jujuy,2001,2,2
Jujuy,2002,1,7
Jujuy,2003,1,7
Jujuy,2004,2,3
Jujuy,2005,4,3
Jujuy,2006,0,3
Jujuy,2007,0,2
Jujuy,2008,3,2
Jujuy,2009,1,3
Jujuy,2010,1,3
Jujuy,2011,1,6
Jujuy,2012,0,5
Jujuy,2013,1,8
Jujuy,2014,1,8
Jujuy,2015,2,4
La Pampa,1998,4,2
La Pampa,1999,1,2
La Pampa,2000,0,5
La Pampa,2001,1,4
La Pampa,2002,1,3
La Pampa,2003,1,2
La Pampa,2004,1,2
La Pampa,2005,1,3
La Pampa,2006,3,3
La Pampa,2007,1,1
La Pampa,2008,2,0
La Pampa,2009,1,4
La Pampa,2010,0,5
La Pampa,2011,2,5
La Pampa,2012,0,5
La Pampa,2013,3,2
La Pampa,2014,3,2
La Pampa,2015,1,3
La Rioja,1998,0,0
La Rioja,1999,0,0
La Rioja,2000,0,0
La Rioja,2001,0,1
La Rioja,2002,0,0
La Rioja,2003,1,0
La Rioja,2004,0,3
La Rioja,2005,1,2
La Rioja,2006,0,2
La Rioja,2007,0,1
La Rioja,2008,0,1
La Rioja,2009,0,0
La Rioja,2010,1,1
La Rioja,2011,0,1
La Rioja,2012,1,0
La Rioja,2013,0,0
La Rioja,2014,0,0
La Rioja,2015,0,1
Mendoza,1998,2,10
Mendoza,1999,4,8
Mendoza,2000,2,4
Mendoza,2001,0,4
Mendoza,2002,0,7
Mendoza,2003,0,6
Mendoza,2004,0,7
Mendoza,2005,1,9
Mendoza,2006,1,10
Mendoza,2007,2,7
Mendoza,2008,0,6
Mendoza,2009,1,7
Mendoza,2010,2,9
Mendoza,2011,2,8
Mendoza,2012,4,3
Mendoza,2013,3,12
Mendoza,2014,3,11
Mendoza,2015,4,6
Misiones,1998,1,5
Misiones,1999,3,8
Misiones,2000,0,2
Misiones,2001,1,3
Misiones,2002,1,2
Misiones,2003,3,1
Misiones,2004,1,7
Misiones,2005,1,7
Misiones,2006,0,6
Misiones,2007,1,5
Misiones,2008,1,8
Misiones,2009,1,6
Misiones,2010,2,5
Misiones,2011,0,6
Misiones,2012,1,7
Misiones,2013,2,8
Misiones,2014,2,8
Misiones,2015,1,4
Neuquén,1998,1,7
Neuquén,1999,2,5
Neuquén,2000,2,6
Neuquén,2001,7,5
Neuquén,2002,3,6
Neuquén,2003,6,8
Neuquén,2004,3,4
Neuquén,2005,4,6
Neuquén,2006,1,5
Neuquén,2007,1,3
Neuquén,2008,1,5
Neuquén,2009,0,3
Neuquén,2010,0,1
Neuquén,2011,2,2
Neuquén,2012,2,8
Neuquén,2013,2,8
Neuquén,2014,2,8
Neuquén,2015,0,5
Río Negro,1998,4,11
Río Negro,1999,3,4
Río Negro,2000,2,5
Río Negro,2001,0,5
Río Negro,2002,0,4
Río Negro,2003,4,8
Río Negro,2004,1,7
Río Negro,2005,1,8
Río Negro,2006,2,9
Río Negro,2007,5,10
Río Negro,2008,3,11
Río Negro,2009,0,9
Río Negro,2010,1,7
Río Negro,2011,1,6
Río Negro,2012,3,5
Río Negro,2013,3,5
Río Negro,2014,3,5
Río Negro,2015,1,3
Salta,1998,1,4
Salta,1999,2,4
Salta,2000,1,4
Salta,2001,0,6
Salta,2002,0,6
Salta,2003,3,7
Salta,2004,2,8
Salta,2005,1,8
Salta,2006,0,7
Salta,2007,2,7
Salta,2008,4,8
Salta,2009,2,6
Salta,2010,0,6
Salta,2011,1,6
Salta,2012,0,7
Salta,2013,0,6
Salta,2014,0,6
Salta,2015,1,8
San Juan,1998,0,2
San Juan,1999,1,2
San Juan,2000,0,2
San Juan,2001,0,2
San Juan,2002,0,2
San Juan,2003,0,1
San Juan,2004,0,3
San Juan,2005,0,3
San Juan,2006,0,2
San Juan,2007,0,3
San Juan,2008,0,2
San Juan,2009,1,0
San Juan,2010,0,3
San Juan,2011,0,1
San Juan,2012,0,1
San Juan,2013,0,2
San Juan,2014,0,2
San Juan,2015,0,1
San Luis,1998,1,4
San Luis,1999,2,3
San Luis,2000,0,2
San Luis,2001,1,5
San Luis,2002,0,3
San Luis,2003,1,1
San Luis,2004,0,2
San Luis,2005,0,1
San Luis,2006,0,2
San Luis,2007,0,1
San Luis,2008,0,2
San Luis,2009,0,3
San Luis,2010,0,1
San Luis,2011,0,1
San Luis,2012,1,1
San Luis,2013,0,2
San Luis,2014,0,2
San Luis,2015,1,1
Santa Cruz,1998,0,4
Santa Cruz,1999,1,6
Santa Cruz,2000,1,4
Santa Cruz,2001,3,3
Santa Cruz,2002,0,0
Santa Cruz,2003,0,0
Santa Cruz,2004,2,2
Santa Cruz,2005,0,2
Santa Cruz,2006,2,4
Santa Cruz,2007,4,3
Santa Cruz,2008,1,4
Santa Cruz,2009,0,3
Santa Cruz,2010,0,5
Santa Cruz,2011,4,4
Santa Cruz,2012,2,3
Santa Cruz,2013,1,3
Santa Cruz,2014,1,3
Santa Cruz,2015,1,3
Santa Fe,1998,11,63
Santa Fe,1999,33,62
Santa Fe,2000,24,46
Santa Fe,2001,26,51
Santa Fe,2002,19,41
Santa Fe,2003,19,59
Santa Fe,2004,31,55
Santa Fe,2005,30,52
Santa Fe,2006,25,50
Santa Fe,2007,23,59
Santa Fe,2008,21,52
Santa Fe,2009,22,55
Santa Fe,2010,26,36
Santa Fe,2011,17,44
Santa Fe,2012,28,40
Santa Fe,2013,20,64
Santa Fe,2014,20,64
Santa Fe,2015,18,49
Santiago del Estero,1998,0,2
Santiago del Estero,1999,0,0
Santiago del Estero,2000,0,1
Santiago del Estero,2001,0,0
Santiago del Estero,2002,0,0
Santiago del Estero,2003,0,0
Santiago del Estero,2004,0,0
Santiago del Estero,2005,0,0
Santiago del Estero,2006,0,0
Santiago del Estero,2007,0,2
Santiago del Estero,2008,0,0
Santiago del Estero,2009,0,0
Santiago del Estero,2010,0,1
Santiago del Estero,2011,0,2
Santiago del Estero,2012,0,0
Santiago del Estero,2013,1,2
Santiago del Estero,2014,1,3
Santiago del Estero,2015,1,2
Tierra del Fuego,1998,0,2
Tierra del Fuego,1999,0,3
Tierra del Fuego,2000,0,0
Tierra del Fuego,2001,0,5
Tierra del Fuego,2002,1,1
Tierra del Fuego,2003,2,3
Tierra del Fuego,2004,1,0
Tierra del Fuego,2005,0,1
Tierra del Fuego,2006,0,0
Tierra del Fuego,2007,0,0
Tierra del Fuego,2008,0,0
Tierra del Fuego,2009,0,0
Tierra del Fuego,2010,0,0
Tierra del Fuego,2011,1,0
Tierra del Fuego,2012,1,0
Tierra del Fuego,2013,2,0
Tierra del Fuego,2014,2,0
Tierra del Fuego,2015,0,0
Tucumán,1998,1,10
Tucumán,1999,4,8
Tucumán,2000,5,11
Tucumán,2001,2,4
Tucumán,2002,3,8
Tucumán,2003,3,9
Tucumán,2004,2,15
Tucumán,2005,0,10
Tucumán,2006,3,11
Tucumán,2007,6,7
Tucumán,2008,5,9
Tucumán,2009,7,15
Tucumán,2010,4,6
Tucumán,2011,6,7
Tucumán,2012,6,7
Tucumán,2013,3,12
Tucumán,2014,3,12
Tucumán,2015,6,9
