Provincia,Año,Cantidad
Buenos Aires,1998,247
Buenos Aires,1999,260
Buenos Aires,2000,226
Buenos Aires,2001,271
Buenos Aires,2002,173
Buenos Aires,2003,223
Buenos Aires,2004,278
Buenos Aires,2005,282
Buenos Aires,2006,254
Buenos Aires,2007,253
Buenos Aires,2008,247
Buenos Aires,2009,259
Buenos Aires,2010,183
Buenos Aires,2011,217
Buenos Aires,2012,202
Buenos Aires,2013,245
Buenos Aires,2014,245
Catamarca,1998,1
Catamarca,2000,1
Catamarca,2003,1
Catamarca,2009,1
Chaco,1998,1
Chaco,1999,1
Chaco,2000,1
Chaco,2001,1
Chaco,2003,2
Chaco,2004,3
Chaco,2005,2
Chaco,2006,3
Chaco,2007,3
Chaco,2008,4
Chaco,2009,4
Chaco,2010,9
Chaco,2011,5
Chaco,2012,6
Chaco,2013,10
Chaco,2014,10
Chubut,1998,3
Chubut,1999,2
Chubut,2000,1
Chubut,2001,2
Chubut,2003,1
Chubut,2004,2
Chubut,2005,2
Chubut,2006,4
Chubut,2007,4
Chubut,2008,1
Chubut,2009,3
Chubut,2010,3
Chubut,2011,5
Chubut,2012,6
Chubut,2013,5
Chubut,2014,5
Ciudad Autónoma de Buenos Aires,1998,91
Ciudad Autónoma de Buenos Aires,1999,91
Ciudad Autónoma de Buenos Aires,2000,100
Ciudad Autónoma de Buenos Aires,2001,100
Ciudad Autónoma de Buenos Aires,2002,72
Ciudad Autónoma de Buenos Aires,2003,97
Ciudad Autónoma de Buenos Aires,2004,76
Ciudad Autónoma de Buenos Aires,2005,84
Ciudad Autónoma de Buenos Aires,2006,76
Ciudad Autónoma de Buenos Aires,2007,58
Ciudad Autónoma de Buenos Aires,2008,63
Ciudad Autónoma de Buenos Aires,2009,75
Ciudad Autónoma de Buenos Aires,2010,68
Ciudad Autónoma de Buenos Aires,2011,106
Ciudad Autónoma de Buenos Aires,2012,96
Ciudad Autónoma de Buenos Aires,2013,81
Ciudad Autónoma de Buenos Aires,2014,82
Corrientes,1998,7
Corrientes,1999,3
Corrientes,2000,1
Corrientes,2001,3
Corrientes,2002,1
Corrientes,2003,5
Corrientes,2004,6
Corrientes,2005,7
Corrientes,2006,8
Corrientes,2007,10
Corrientes,2008,3
Corrientes,2009,9
Corrientes,2010,4
Corrientes,2011,8
Corrientes,2012,5
Corrientes,2013,8
Corrientes,2014,8
Córdoba,1998,43
Córdoba,1999,45
Córdoba,2000,31
Córdoba,2001,37
Córdoba,2002,21
Córdoba,2003,51
Córdoba,2004,42
Córdoba,2005,39
Córdoba,2006,44
Córdoba,2007,37
Córdoba,2008,34
Córdoba,2009,28
Córdoba,2010,36
Córdoba,2011,35
Córdoba,2012,42
Córdoba,2013,41
Córdoba,2014,41
Entre Ríos,1998,11
Entre Ríos,1999,12
Entre Ríos,2000,15
Entre Ríos,2001,17
Entre Ríos,2002,6
Entre Ríos,2003,12
Entre Ríos,2004,7
Entre Ríos,2005,11
Entre Ríos,2006,15
Entre Ríos,2007,15
Entre Ríos,2008,18
Entre Ríos,2009,14
Entre Ríos,2010,17
Entre Ríos,2011,23
Entre Ríos,2012,20
Entre Ríos,2013,24
Entre Ríos,2014,24
Formosa,1998,1
Formosa,1999,4
Formosa,2000,7
Formosa,2001,7
Formosa,2002,7
Formosa,2003,11
Formosa,2004,9
Formosa,2005,4
Formosa,2006,1
Formosa,2007,1
Formosa,2008,3
Formosa,2009,2
Formosa,2010,3
Formosa,2011,4
Formosa,2012,1
Formosa,2013,4
Formosa,2014,4
Jujuy,1998,2
Jujuy,1999,2
Jujuy,2000,6
Jujuy,2001,4
Jujuy,2002,8
Jujuy,2003,8
Jujuy,2004,5
Jujuy,2005,7
Jujuy,2006,3
Jujuy,2007,2
Jujuy,2008,5
Jujuy,2009,4
Jujuy,2010,4
Jujuy,2011,7
Jujuy,2012,5
Jujuy,2013,9
Jujuy,2014,9
La Pampa,1998,6
La Pampa,1999,3
La Pampa,2000,5
La Pampa,2001,5
La Pampa,2002,4
La Pampa,2003,3
La Pampa,2004,3
La Pampa,2005,4
La Pampa,2006,6
La Pampa,2007,2
La Pampa,2008,2
La Pampa,2009,5
La Pampa,2010,5
La Pampa,2011,7
La Pampa,2012,5
La Pampa,2013,5
La Pampa,2014,5
La Rioja,2001,1
La Rioja,2003,1
La Rioja,2004,3
La Rioja,2005,3
La Rioja,2006,2
La Rioja,2007,1
La Rioja,2008,1
La Rioja,2010,2
La Rioja,2011,1
La Rioja,2012,1
Mendoza,1998,12
Mendoza,1999,12
Mendoza,2000,6
Mendoza,2001,4
Mendoza,2002,7
Mendoza,2003,6
Mendoza,2004,7
Mendoza,2005,10
Mendoza,2006,11
Mendoza,2007,9
Mendoza,2008,6
Mendoza,2009,8
Mendoza,2010,11
Mendoza,2011,10
Mendoza,2012,7
Mendoza,2013,14
Mendoza,2014,14
Misiones,1998,6
Misiones,1999,11
Misiones,2000,2
Misiones,2001,4
Misiones,2002,3
Misiones,2003,4
Misiones,2004,8
Misiones,2005,8
Misiones,2006,6
Misiones,2007,6
Misiones,2008,9
Misiones,2009,7
Misiones,2010,7
Misiones,2011,6
Misiones,2012,8
Misiones,2013,10
Misiones,2014,10
Neuquén,1998,8
Neuquén,1999,7
Neuquén,2000,8
Neuquén,2001,12
Neuquén,2002,9
Neuquén,2003,14
Neuquén,2004,7
Neuquén,2005,10
Neuquén,2006,6
Neuquén,2007,4
Neuquén,2008,6
Neuquén,2009,3
Neuquén,2010,1
Neuquén,2011,4
Neuquén,2012,10
Neuquén,2013,10
Neuquén,2014,10
Río Negro,1998,15
Río Negro,1999,7
Río Negro,2000,7
Río Negro,2001,5
Río Negro,2002,4
Río Negro,2003,12
Río Negro,2004,8
Río Negro,2005,9
Río Negro,2006,11
Río Negro,2007,15
Río Negro,2008,14
Río Negro,2009,9
Río Negro,2010,8
Río Negro,2011,7
Río Negro,2012,8
Río Negro,2013,8
Río Negro,2014,8
Salta,1998,5
Salta,1999,6
Salta,2000,5
Salta,2001,6
Salta,2002,6
Salta,2003,10
Salta,2004,10
Salta,2005,9
Salta,2006,7
Salta,2007,9
Salta,2008,12
Salta,2009,8
Salta,2010,6
Salta,2011,7
Salta,2012,7
Salta,2013,6
Salta,2014,6
San Juan,1998,2
San Juan,1999,3
San Juan,2000,2
San Juan,2001,2
San Juan,2002,2
San Juan,2003,1
San Juan,2004,3
San Juan,2005,3
San Juan,2006,2
San Juan,2007,3
San Juan,2008,2
San Juan,2009,1
San Juan,2010,3
San Juan,2011,1
San Juan,2012,1
San Juan,2013,2
San Juan,2014,2
